name,lat,lon,alt_km,status
"Aerzen, Germany",52.0489,9.2683,0.0,operational
"Akita, Japan",39.72,140.1024,0.0,operational
"Akron, OH",41.0575,-81.5199,0.0,operational
"Alfouvar de Cima, Portugal",40.5167,-8.25,0.0,operational
"Anchorage, AK",61.2181,-149.9003,0.0,operational
"Angeles, Philippines",15.145,120.5887,0.0,operational
"Ashburn, VA",39.0157,-77.4649,0.0,operational
"Awarua, NZ",-46.5294,168.3781,0.0,operational
"Ballinspittle, Ireland",51.6508,-8.5808,0.0,operational
"Bandon, OR",43.2476,-124.3828,0.0,operational
"Banning, CA",33.9191,-116.8494,0.0,operational
"Bastrop, TX",30.1579,-97.4069,0.0,operational
"Baxley, GA",31.7791,-82.3485,0.0,operational
"Beekmantown, NY",44.7629,-73.5754,0.0,operational
"Bellingham, WA",48.7519,-122.4787,0.0,operational
"Big Ivy, TN",35.1599,-88.061,0.0,operational
"Bluffdale, UT",40.4798,-111.9042,0.0,operational
"Boca Chica, TX",26.0621,-97.1668,0.0,operational
"Boise, ID",43.5811,-116.29,0.0,operational
"Boorowa, Australia",-34.4392,148.7142,0.0,operational
"Brewster, WA",48.0962,-119.7806,0.0,operational
"Bridgewater, CT",41.5454,-73.3544,0.0,operational
"Broadview, IL",41.8642,-87.8534,0.0,operational
"Broken Hill, Australia",-31.9505,141.4681,0.0,operational
"Brooklyn Park, MN",45.144,-93.3858,0.0,operational
"Bulla Bulling, Australia",-31.1,121.0167,0.0,operational
"Burbank, CA",34.2001,-118.3438,0.0,operational
"Butte, MT",46.0038,-112.5348,0.0,operational
"Cabo San Lucas, Mexico",22.8905,-109.9167,0.0,operational
"Cal-Nev-Ari, NV",35.2987,-114.8745,0.0,operational
"Calais, ME",45.1714,-67.2476,0.0,operational
"Caldera, Chile",-27.0667,-70.8167,0.0,operational
"Calrossie, Australia",-36.45,145.3,0.0,operational
"Calverton, NY",40.9089,-72.7976,0.0,operational
"Camaçari, Brazil",-12.6996,-38.3263,0.0,operational
"Canyonleigh, Australia",-34.5333,150.2,0.0,operational
"Cass County, ND",46.93,-97.25,0.0,operational
"Cataby, Australia",-30.75,115.5333,0.0,operational
"Centennial, CO",39.5919,-104.8469,0.0,operational
"Chalfont Grove, UK",51.6167,-0.5667,0.0,operational
"Chantilly, VA",38.9102,-77.4727,0.0,operational
"Chapel Hill, NC",35.8958,-79.2267,0.0,operational
"Charcas, Mexico",23.1314,-101.1136,0.0,operational
"Charleston, SC",32.7765,-79.9311,0.0,operational
"Chaska, MN",44.851,-93.598,0.0,operational
"Chattanooga, TN",35.0317,-85.2975,0.0,operational
"Chicago, IL",41.8414,-87.6711,0.0,operational
"Chico, CA",39.7754,-121.9199,0.0,operational
"Clarksville, GA",34.6485,-83.5473,0.0,operational
"Cobargo, Australia",-36.3886,149.89,0.0,operational
"Colburn, ID",48.4,-116.55,0.0,operational
"Conrad, MT",48.17,-111.95,0.0,operational
"Corpus Christi, TX",27.7931,-97.4519,0.0,operational
"Cromwell, NZ",-45.05,169.2,0.0,operational
"Dallas, TX",32.7999,-96.8182,0.0,operational
"Debeque, CO",39.289,-108.205,0.0,operational
"Delta, UT",39.3461,-112.5894,0.0,operational
"Denver, CO",39.7457,-104.9954,0.0,operational
"Douglas, WY",42.7401,-105.3504,0.0,operational
"Draper, UT",40.4799,-111.8229,0.0,operational
"Dubois, ID",44.1704,-112.2251,0.0,operational
"Dubuque, IA",42.4446,-90.6785,0.0,operational
"Duluth, MN",46.8281,-92.1304,0.0,operational
"Dumas, TX",35.8628,-101.9732,0.0,operational
"Eagan, MN",44.8393,-93.1456,0.0,operational
"Edison, NJ",40.5211,-74.3451,0.0,operational
El Marques,20.7351,-100.2836,0.0,operational
"Elbert, CO",39.2239,-104.5347,0.0,operational
"Elfordstown, Ireland",52.0833,-8.25,0.0,operational
"Evanston, WY",41.2683,-110.9632,0.0,operational
"Fair Park, UT",40.7669,-111.9212,0.0,operational
"Fairbanks, AK",64.8378,-147.7164,0.0,operational
"Falda del Carmen, Argentina",-31.5333,-64.45,0.0,operational
"Foggia, Italy",41.4621,15.5444,0.0,operational
"Fort Lauderdale, FL",26.1224,-80.1373,0.0,operational
"Franklin Park, IL",41.9288,-87.8574,0.0,operational
"Frederick, MD",39.4143,-77.4105,0.0,operational
"Fremont, CA",37.4921,-121.9367,0.0,operational
"Ft. Lauderdale, FL",26.1911,-80.1934,0.0,operational
"Gaffney, SC",35.0718,-81.6498,0.0,operational
"Goodyear, AZ",33.4121,-112.4129,0.0,operational
"Goonhilly, UK",50.0502,-5.1825,0.0,operational
"Gordon, GA",32.8411,-83.2538,0.0,operational
"Grant District, WV",38.978,-79.1466,0.0,operational
"Greenville, PA",41.4028,-80.3812,0.0,operational
"Guarapari, Brazil",-20.6614,-40.4981,0.0,operational
"Hamshire, TX",29.8622,-94.6749,0.0,operational
"Hawkins, TX",32.6136,-95.2998,0.0,operational
"Hawthorne, CA",33.9207,-118.328,0.0,operational
"Highlands Ranch, CO",39.55,-105.0333,0.0,operational
"Hillman, MI",45.0586,-83.9022,0.0,operational
"Hillsboro, TX",32.011,-97.13,0.0,operational
"Hinds, NZ",-43.8667,171.5833,0.0,operational
"Hitterdal, MN",46.9769,-96.2595,0.0,operational
"Honolulu, HI",21.315,-157.8664,0.0,operational
"Howell, UT",41.8366,-112.4352,0.0,operational
"Ibi, Spain",38.6264,-0.5726,0.0,operational
"Inman, KS",38.2319,-97.7725,0.0,operational
"Iron Mountain, CO",39.7775,-104.9685,0.0,operational
"Irvine, CA",33.6872,-117.8479,0.0,operational
"Isle of Man, UK",54.13909,-4.49728,0.0,operational
"Itaboraí, Brazil",-22.7446,-42.8586,0.0,operational
"Kalama, WA",46.01,-122.84,0.0,operational
"Kaua'i, HI",21.9994,-159.378,0.0,operational
"Kaunas, Lithuania",54.8985,23.9036,0.0,operational
"Kenansville, FL",27.8847,-81.0962,0.0,operational
"Kent, WA",47.4211,-122.2481,0.0,operational
"Ketchikan, AK",55.342,-131.636,0.0,operational
"Ki Ki, Australia",-35.8,139.7167,0.0,operational
"Kihei, HI",20.746,-156.432,0.0,operational
"Kiowa, CO",39.292,-104.5052,0.0,operational
"Kuparuk, AK",70.3316,-149.5947,0.0,operational
"Lawrence, KS",38.9717,-95.2353,0.0,operational
Lekki,6.4711,3.8148,0.0,operational
"Lepe, Spain",37.2547,-7.2044,0.0,operational
"Limestone, ME",46.9149,-67.9195,0.0,operational
"Lindon, UT",40.3327,-111.7312,0.0,operational
"Lisle, IL",41.8006,-88.0961,0.0,operational
"Litchfield, MN",45.12,-94.53,0.0,operational
"Lithia Springs, GA",33.7459,-84.5795,0.0,operational
"Llano Grande, Mexico",19.34,-97.008,0.0,operational
"Lockport, NY",43.1709,-78.6903,0.0,operational
"Loring, ME",46.95,-67.89,0.0,operational
"Los Angeles, CA",34.0581,-118.2354,0.0,operational
"Lunenburg, VT",44.412,-71.7318,0.0,operational
"Luz, Brazil",-19.79,-44.7325,0.0,operational
"Lynnwood, WA",47.8417,-122.3009,0.0,operational
"Madera, CA",36.8588,-119.9105,0.0,operational
"Manaus, Brazil",-3.119,-60.0217,0.0,operational
"Mandale, NC",35.895778,-79.226722,0.0,operational
"Manistique, MI",45.9575,-86.2464,0.0,operational
