id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,61,43.0054,64.0921,101.8753,39.1433,141.0186,6866.5596,486.129,-5168.843841344812,-3417.979186469216,2943.532941553296,-1508.3929115714996,6010.347677103698,2943.532941553296,25.5472,104.0883,4
1,STARLINK-5368,satellite,0,61,43.0167,64.0562,123.3043,35.3096,158.6139,6868.9062,484.9539,-4440.341353151577,-4945.029791398609,1706.9926623934628,-3190.680905453432,5830.052000617372,1706.9926623934628,14.4911,118.6911,2
2,STARLINK-4659,satellite,0,61,42.9877,64.1625,81.9391,31.2351,113.1742,6862.5157,488.2473,-5326.987201819818,-419.0800342477076,4298.741474605326,1372.9582796196382,5164.049407769167,4298.741474605326,38.991,75.1113,4
3,STARLINK-5387,satellite,0,61,42.9821,64.2392,84.3995,4.6943,89.0939,6858.6306,486.6921,-4468.730074109233,2276.859209804867,4672.854815701105,3631.137184505633,3459.5489711553532,4672.854815701105,43.1537,43.6138,5
4,STARLINK-5304,satellite,0,61,42.9914,64.3357,94.7524,324.5809,59.3334,6863.4786,487.6517,-2374.349116079403,5021.818609005847,4022.6350400564966,5525.229512996819,572.7431322097212,4022.6350400564966,36.0808,5.9181,14
5,STARLINK-5082,satellite,0,61,43.0167,63.9928,167.352,35.3592,202.7112,6868.7692,488.1709,-1035.088761024091,-6541.01981958202,-1808.1418704104703,-5826.53763273847,3147.667110360557,-1808.1418704104703,-15.3625,151.6208,6
6,STARLINK-5360,satellite,0,61,43.0181,64.0539,125.0224,36.0923,161.1147,6869.1548,484.9248,-4300.911272824798,-5127.705244248843,1515.2704783211182,-3409.2816744065517,5759.166373110276,1515.2704783211182,12.8344,120.6245,4
7,STARLINK-5432,satellite,0,58,42.9846,53.0051,98.9097,332.4192,71.329,6871.7798,498.6493,-2478.485322007655,4620.125388725943,4436.0778697945325,5180.8807081993145,804.3153525611735,4436.0778697945325,40.4108,8.8245,20
8,STARLINK-5087,satellite,0,58,43.0214,52.7196,151.6131,33.3825,184.9956,6870.0357,485.7775,-3794.0522940698074,-5705.361740513556,-407.79370352893136,-4122.43413362658,5472.798389687192,-407.79370352893136,-3.4273,126.9892,4
9,STARLINK-5084,satellite,0,58,43.0107,52.6795,166.64,43.8016,210.4416,6867.7825,489.4866,-1565.6937890250065,-6248.857858205209,-2372.6384005617806,-5374.809218522548,3551.2036603846745,-2372.6384005617806,-20.3353,146.5468,16
10,STARLINK-5418,satellite,0,58,42.9883,52.5957,79.9249,164.0931,244.018,6862.9041,496.021,1759.3518463432729,-5131.934881449217,-4208.476086828444,-5424.95568907959,43.93538653139183,-4208.476086828444,-37.9751,179.536,8
11,STARLINK-5427,satellite,0,58,42.9937,52.8335,87.2834,36.5757,123.8591,6872.1303,495.6994,-5635.093027336426,-529.0466794285248,3888.5661548816997,1371.5016514694576,5491.188126058559,3888.5661548816997,34.6575,75.9765,4
