id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,61,43.0113,64.0756,164.1548,45.6155,209.7703,6867.8924,489.8651,-363.5560376336691,-6449.508249727879,-2325.359392706876,-5749.233038648834,2945.275729556837,-2325.359392706876,-19.9118,152.8744,12
1,STARLINK-5368,satellite,0,61,43.0003,64.0348,112.8115,114.5363,227.3477,6865.246,493.1289,1283.5792047910556,-5799.313069427623,-3443.9111963449404,-5822.090713650974,1175.953814664999,-3443.9111963449404,-30.2611,168.581,13
2,STARLINK-4659,satellite,0,61,43.0215,64.1153,147.9885,34.0034,181.9919,6870.0788,485.3591,-2837.610853368826,-6247.310176406032,-162.76649885015655,-4562.057011040455,5125.285906503124,-162.76649885015655,-1.3674,131.6725,3
3,STARLINK-5387,satellite,0,61,43.0165,64.1473,119.7871,38.21,157.9971,6866.334,482.6773,-4464.2046825145535,-4903.9411424958535,1753.214553877017,-2674.887368346056,6068.174333612303,1753.214553877017,14.8973,113.7882,4
4,STARLINK-5304,satellite,0,61,42.9963,64.2109,90.6941,37.5434,128.2375,6864.5797,486.9945,-5394.784035319446,-2108.0858477714223,3673.939458109933,258.2542615043932,5786.279069119164,3673.939458109933,32.5492,87.4445,3
5,STARLINK-5082,satellite,0,61,42.9827,63.8999,91.4592,179.9845,271.4437,6861.1616,497.9639,4585.4552481038445,-2053.768989400263,-4679.695689507202,-3735.383643874223,-3360.2493846829584,-4679.695689507202,-43.1438,-138.0263,4
6,STARLINK-5360,satellite,0,61,42.9989,64.0303,95.2421,134.602,229.8441,6864.8549,493.7952,1511.5679875911069,-5661.298919279326,-3578.858306409661,-5788.275211762097,911.5993129900532,-3578.858306409661,-31.5743,171.05,11
7,STARLINK-5432,satellite,0,37,43.004,52.8883,101.9679,38.1028,140.0707,6876.0679,495.9918,-5750.212180886615,-2255.5042950261054,3007.4696615161465,267.47034724238966,6170.956114204998,3007.4696615161465,26.1023,87.5182,3
8,STARLINK-5087,satellite,0,37,42.9848,52.6597,78.8883,174.8327,253.721,6861.8526,497.3113,2665.9115021210177,-4454.729776818876,-4493.7611876894525,-5152.8181419671655,-632.587320005664,-4493.7611876894525,-41.0562,-173.0011,9
9,STARLINK-5084,satellite,0,37,42.982,52.574,99.3974,179.7778,279.1752,6861.3612,497.9316,4603.477540238297,-2144.2459789124605,-4621.370824769903,-3825.4044179960583,-3340.0714543759286,-4621.370824769903,-42.4803,-138.8748,4
10,STARLINK-5418,satellite,0,37,42.999,52.4728,71.144,241.609,312.753,6865.3079,493.2596,5763.386845589067,1450.3538816336406,-3438.315815977446,-1008.9237716875789,-5856.810321053822,-3438.315815977446,-30.2062,-99.7741,4
11,STARLINK-5427,satellite,1,100,43.0194,52.8027,157.9758,34.5508,192.5266,6877.8251,494.8193,-3187.8430977947073,-6002.877463401601,-1016.9470812759606,-4196.6925136795035,5346.461764793479,-1016.9470812759606,-8.5619,128.1301,4
12,STARLINK-5416,satellite,1,100,43.0014,52.7238,95.1593,136.9309,232.0901,6873.989,503.3581,598.2279531417765,-5764.10278419592,-3699.5623626012766,-5512.242820441122,1788.2775733064118,-3699.5623626012766,-32.7161,162.0259,16
13,STARLINK-5078,satellite,0,37,43.009,52.8851,104.5414,35.771,140.3124,6866.5161,486.055,-5740.066617744244,-2276.660844088007,2988.2582696974746,244.01750770995977,6170.251601926487,2988.2582696974746,25.9638,87.7353,4
14,STARLINK-5407,satellite,0,37,42.9894,52.5106,108.7156,189.1493,297.8649,6863.172,495.9893,5476.359000977017,-155.9653064124337,-4139.045531642969,-2361.2317755543813,-4943.623932551769,-4139.045531642969,-37.2428,-115.5306,4
15,STARLINK-5409,satellite,1,100,43.0201,52.7992,158.401,30.0794,188.4804,6883.931,499.8825,-3522.262807596395,-5866.767916102785,-691.9972828003408,-3936.769576898677,5597.065871114513,-691.9972828003408,-5.8103,125.1211,4
16,STARLINK-5406,satellite,0,37,43.0107,52.8578,116.625,33.0446,149.6696,6870.9884,488.8713,-5597.990670667524,-3192.497218802919,2364.588927740104,-650.853365413943,6411.3904839492,2364.588927740104,20.2652,95.7965,4
17,STARLINK-5400,satellite,0,37,43.0206,52.3911,34.3584,324.3348,358.6933,6874.5663,490.2447,4281.175534362775,5369.796288627369,-106.86263262930672,3174.9502613781697,-6089.57034405198,-106.86263262930672,-0.8971,-62.4636,7
18,STARLINK-5403,satellite,0,37,43.0092,52.7833,168.8408,43.3828,212.2237,6872.7037,495.3519,-1382.0830635828634,-6249.050836791729,-2499.0043526738314,-5153.3268711031205,3795.2617979549877,-2499.0043526738314,-21.4502,143.6295,16
19,STARLINK-5405,satellite,1,100,43.02,52.8225,141.5603,30.4064,171.9666,6883.96,498.6772,-4674.480669742024,-5000.724136389233,655.6494086276766,-2678.1829073953963,6299.630761766344,655.6494086276766,5.5051,113.032,5
20,STARLINK-5359,satellite,1,100,43.0222,53.2411,28.4533,327.9708,356.4241,6884.0722,499.7532,4359.290451910174,5311.850862280459,-292.68685097213586,3090.3264150740747,-6137.512156853157,-292.68685097213586,-2.4542,-63.2741,7
21,STARLINK-5411,satellite,0,37,43.0216,52.8204,145.5804,30.6884,176.2689,6870.1818,484.8564,-4398.738942802824,-5259.120559396257,304.70375998084336,-3026.135484026126,6152.215647838791,304.70375998084336,2.5606,116.1915,5
22,STARLINK-5398,satellite,0,37,42.9846,52.6115,88.0055,177.7596,265.7651,6861.2899,498.2773,3672.2471218050355,-3444.658665379816,-4668.811284064173,-4637.04866842906,-1961.8491000079255,-4668.811284064173,-43.017,-157.0677,4
23,STARLINK-5379,satellite,1,100,43.0133,52.7668,169.3047,36.3577,205.6624,6874.9227,495.3805,-2015.1874583306194,-6247.989705397142,-2030.0557939085325,-4895.866933373047,4373.653258051681,-2030.0557939085325,-17.2841,138.2244,9
24,STARLINK-5401,satellite,0,37,43.0175,52.3614,51.9106,324.6561,16.5667,6869.4325,485.1061,2883.8937595655048,6082.2825638356835,1334.8954504936673,4392.428431118983,-5100.742777311758,1334.8954504936673,11.2852,-49.2671,4
25,STARLINK-5397,satellite,1,100,43.0222,53.2334,35.3577,326.9083,2.266,6884.9552,500.2058,3954.5696600939177,5624.796290637184,185.5519954344353,3540.4042382390003,-5894.276235260821,185.5519954344353,1.5555,-59.0088,6
26,STARLINK-5491,satellite,1,108,42.9891,220.2831,80.8748,35.9799,116.8547,6879.5599,505.3751,5270.486518840119,-1414.7635578276843,4182.578023445912,-3428.694152541093,-4245.425830015548,4182.578023445912,37.6407,-128.9251,54
27,STARLINK-5655,satellite,1,108,42.9922,219.9708,68.8056,167.4978,236.3034,6875.0749,505.7962,235.50672497399773,5658.262818843996,-3901.5542715234074,5077.7064846249805,-2507.647981798443,-3901.5542715234074,-34.7311,-26.2827,1
28,STARLINK-5653,satellite,0,26,42.9829,220.4073,102.2812,333.8984,76.1796,6873.8306,501.7823,1914.010772411324,-4780.282273823433,4548.575878636636,-5145.839638134672,186.73583731880177,4548.575878636636,41.6329,177.9217,4
29,STARLINK-5547,satellite,0,93,42.9862,231.3335,73.8695,172.3448,246.2144,6862.5646,496.2547,-1858.4022672337692,5033.696964509665,-4283.7834462905475,5354.9975943783065,-340.2423865069926,-4283.7834462905475,-38.7763,-3.6355,4
30,STARLINK-5608,satellite,0,93,42.9827,231.2061,102.4768,181.7226,284.1994,6861.692,497.1139,-4850.3659831947325,1738.093825479741,-4537.990414723846,3554.098173313098,3730.3359756938653,-4537.990414723846,-41.5493,46.3859,4
31,STARLINK-5665,satellite,1,108,42.9799,219.9688,89.0675,176.7953,265.8627,6876.8598,513.3075,-2845.075620631046,4167.268456825255,-4679.200407676177,4962.588876018599,912.8490159803729,-4679.200407676177,-43.0185,10.4228,2
