step,epoch_utc,num_nodes,num_satellites,num_gateways,num_edges,num_isl,num_access,num_shells,num_components,largest_cc_size,isolated_nodes,mean_isl_km,max_isl_km,min_isl_km,mean_access_km
0,2026-03-21T19:20:15.792Z,4330,4080,250,36567,7870,28697,4,7,4323,5,1260.32,4978.49,100.27,1363.95
1,2026-03-21T19:29:15.792Z,4330,4080,250,36846,7862,28984,4,4,4327,3,1251.09,4999.91,101.64,1377.39
2,2026-03-21T19:38:15.792Z,4330,4080,250,37129,7762,29367,4,3,4328,2,1230.36,4973.73,101.13,1366.69
3,2026-03-21T19:47:15.792Z,4330,4080,250,37259,7822,29437,4,4,4326,2,1261.09,4972.76,100.06,1366.26
4,2026-03-21T19:56:15.792Z,4330,4080,250,37714,7814,29900,4,5,4324,2,1240.25,4974.02,100.01,1367.91
5,2026-03-21T20:05:15.792Z,4330,4080,250,38007,7804,30203,4,7,4312,5,1247.5,4977.36,100.02,1361.01
6,2026-03-21T20:14:15.792Z,4330,4080,250,37786,7881,29905,4,8,4316,4,1214.56,4980.57,101.95,1368.62
7,2026-03-21T20:23:15.792Z,4330,4080,250,38147,7816,30331,4,4,4327,3,1239.43,4986.66,100.35,1363.66
8,2026-03-21T20:32:15.792Z,4330,4080,250,38489,7839,30650,4,5,4323,2,1250.99,4987.95,100.47,1366.39
9,2026-03-21T20:41:15.792Z,4330,4080,250,38371,7878,30493,4,8,4317,4,1222.32,4997.58,100.48,1361.01
