source,destination,success,hops,reason,delay_ms,path
4087,4295,True,7,reached destination,54.02136688000617,4087 -> 533 -> 1291 -> 824 -> 1287 -> 4146 -> 1181 -> 4295
4164,4141,True,2,reached destination,4.412971669703507,4164 -> 1635 -> 4141
4117,4313,True,8,reached destination,51.7362994839489,4117 -> 1996 -> 810 -> 534 -> 818 -> 745 -> 811 -> 538 -> 4313
4180,4228,True,4,reached destination,22.326895355147293,4180 -> 3079 -> 4031 -> 3083 -> 4228
4268,4292,True,2,reached destination,6.727754864456726,4268 -> 2522 -> 4292
4124,4194,True,5,reached destination,25.282830717615617,4124 -> 2952 -> 4288 -> 1289 -> 2331 -> 4194
4190,4174,True,6,reached destination,19.880367533500443,4190 -> 1892 -> 58 -> 1189 -> 56 -> 1195 -> 4174
4252,4220,True,2,reached destination,3.8223731025203787,4252 -> 934 -> 4220
4104,4147,True,2,reached destination,5.165461778461893,4104 -> 41 -> 4147
4240,4145,True,6,reached destination,30.485327973888513,4240 -> 1607 -> 1681 -> 2297 -> 4226 -> 934 -> 4145
4322,4301,True,2,reached destination,4.905584864185155,4322 -> 942 -> 4301
4146,4308,True,2,reached destination,12.736375859130362,4146 -> 2212 -> 4308
4303,4324,True,18,reached destination,55.66499030299642,4303 -> 681 -> 689 -> 690 -> 2266 -> 687 -> 696 -> 2243 -> 530 -> 685 -> 2252 -> 2245 -> 683 -> 2240 -> 527 -> 2241 -> 2242 -> 697 -> 4324
4180,4255,True,6,reached destination,29.91053957091473,4180 -> 2682 -> 2686 -> 4041 -> 4270 -> 4017 -> 4255
4169,4259,True,7,reached destination,40.74371634322343,4169 -> 1676 -> 4297 -> 3804 -> 3366 -> 4111 -> 2488 -> 4259
4118,4188,True,12,reached destination,51.710599570735,4118 -> 1892 -> 58 -> 1189 -> 56 -> 1195 -> 1187 -> 1905 -> 1893 -> 1899 -> 1916 -> 1904 -> 4188
4245,4240,True,5,reached destination,26.60197144633836,4245 -> 3370 -> 3804 -> 3366 -> 2847 -> 4240
4145,4173,True,2,reached destination,7.371799540481502,4145 -> 2090 -> 4173
4196,4102,True,2,reached destination,7.701071978681361,4196 -> 1890 -> 4102
4318,4116,True,12,reached destination,49.91722643344269,4318 -> 1916 -> 1899 -> 1893 -> 1905 -> 1187 -> 1195 -> 56 -> 1189 -> 58 -> 1892 -> 1896 -> 4116
4164,4086,True,2,reached destination,3.706896665613356,4164 -> 43 -> 4086
4315,4324,True,2,reached destination,3.7675331763017006,4315 -> 79 -> 4324
4147,4121,True,2,reached destination,8.464057316075571,4147 -> 557 -> 4121
4178,4160,True,2,reached destination,4.824801888067386,4178 -> 2212 -> 4160
4321,4081,True,6,reached destination,40.85828923119671,4321 -> 3095 -> 4100 -> 3789 -> 3852 -> 3788 -> 4081
4208,4191,False,0,no graph path,inf,4208
4253,4118,True,5,reached destination,34.67441579162917,4253 -> 3357 -> 3350 -> 3355 -> 3353 -> 4118
4113,4286,True,2,reached destination,8.470008620186029,4113 -> 1109 -> 4286
4297,4187,True,4,reached destination,20.645123891943395,4297 -> 1676 -> 4322 -> 3007 -> 4187
4299,4144,True,11,reached destination,51.61650554424805,4299 -> 1196 -> 1264 -> 1185 -> 794 -> 1636 -> 1190 -> 1204 -> 1197 -> 1202 -> 74 -> 4144
4127,4224,True,3,reached destination,14.277869374657277,4127 -> 2240 -> 2095 -> 4224
4177,4284,True,2,reached destination,4.878716631036958,4177 -> 2386 -> 4284
4253,4202,True,8,reached destination,31.907823785602833,4253 -> 1477 -> 4208 -> 3478 -> 3100 -> 3501 -> 3121 -> 3515 -> 4202
4110,4229,True,4,reached destination,27.234256711610605,4110 -> 3245 -> 3247 -> 3257 -> 4229
4264,4228,True,2,reached destination,4.121051049655957,4264 -> 510 -> 4228
