source,destination,success,hops,reason,delay_ms,path
867,1075,True,9,reached destination,54.23315340272829,867 -> 128 -> 54 -> 331 -> 127 -> 118 -> 174 -> 388 -> 147 -> 1075
944,921,True,2,reached destination,4.751499579061324,944 -> 10 -> 921
897,1093,True,8,reached destination,53.00846109910455,897 -> 285 -> 60 -> 83 -> 129 -> 157 -> 933 -> 808 -> 1093
960,1008,True,3,reached destination,22.300307094626937,960 -> 810 -> 809 -> 1008
1048,1072,True,2,reached destination,7.170236827881249,1048 -> 613 -> 1072
904,974,True,5,reached destination,25.61629038873656,904 -> 809 -> 1068 -> 318 -> 317 -> 974
970,954,True,3,reached destination,19.92851301731846,970 -> 344 -> 309 -> 954
1032,1000,True,2,reached destination,4.001012923480139,1032 -> 789 -> 1000
884,927,True,2,reached destination,5.431572944734608,884 -> 613 -> 927
1020,925,True,7,reached destination,32.8978125143791,1020 -> 760 -> 499 -> 988 -> 804 -> 1082 -> 505 -> 925
1102,1081,True,2,reached destination,4.947916221712419,1102 -> 344 -> 1081
926,1088,True,3,reached destination,13.228434744638648,926 -> 356 -> 435 -> 1088
1083,1104,True,7,reached destination,56.401660728787846,1083 -> 48 -> 49 -> 47 -> 344 -> 918 -> 397 -> 1104
960,1035,True,5,reached destination,29.964560799795436,960 -> 810 -> 809 -> 991 -> 599 -> 1035
949,1039,True,7,reached destination,39.8174711929187,949 -> 176 -> 926 -> 659 -> 820 -> 801 -> 750 -> 1039
898,968,True,6,reached destination,51.92184155874284,898 -> 344 -> 47 -> 49 -> 48 -> 311 -> 968
1025,1020,True,4,reached destination,25.767979861446076,1025 -> 659 -> 820 -> 728 -> 1020
925,953,True,2,reached destination,7.471530746634785,925 -> 402 -> 953
976,882,True,2,reached destination,7.7808465251586405,976 -> 307 -> 882
1098,896,True,6,reached destination,49.287492366941116,1098 -> 48 -> 49 -> 47 -> 344 -> 343 -> 896
944,866,True,2,reached destination,3.514240776925289,944 -> 410 -> 866
1095,1104,True,2,reached destination,3.673527162875283,1095 -> 383 -> 1104
927,901,True,2,reached destination,8.524962784340014,927 -> 417 -> 901
958,940,True,2,reached destination,5.058238847846622,958 -> 435 -> 940
1101,861,True,7,reached destination,39.71972036759139,1101 -> 642 -> 538 -> 967 -> 785 -> 541 -> 658 -> 861
988,971,False,0,no graph path,inf,988
1033,898,True,6,reached destination,35.23085329699953,1033 -> 302 -> 259 -> 377 -> 1077 -> 388 -> 898
893,1066,True,2,reached destination,8.515350559437712,893 -> 417 -> 1066
1077,967,True,4,reached destination,20.87067056430992,1077 -> 388 -> 1100 -> 767 -> 967
1079,924,True,7,reached destination,52.92474796627066,1079 -> 855 -> 791 -> 449 -> 790 -> 530 -> 529 -> 924
907,1004,True,3,reached destination,14.314865404900276,907 -> 312 -> 309 -> 1004
957,1064,True,2,reached destination,5.324972243756588,957 -> 613 -> 1064
1033,982,True,7,reached destination,33.36799573108999,1033 -> 661 -> 499 -> 988 -> 804 -> 1082 -> 329 -> 982
890,1009,True,5,reached destination,28.333738519912323,890 -> 567 -> 546 -> 569 -> 590 -> 1009
1044,1008,True,2,reached destination,4.172444726053275,1044 -> 782 -> 1008
927,865,True,7,reached destination,44.567938434220345,927 -> 834 -> 830 -> 541 -> 658 -> 861 -> 675 -> 865
1003,1080,True,2,reached destination,6.349951859154659,1003 -> 10 -> 1080
897,1006,True,10,reached destination,68.87259394952457,897 -> 114 -> 115 -> 913 -> 85 -> 331 -> 127 -> 118 -> 119 -> 334 -> 1006
1069,1104,True,2,reached destination,3.6151598227224824,1069 -> 383 -> 1104
