source,destination,success,hops,reason,path
867,1075,False,0,no reachable relay,867
944,921,False,0,no reachable relay,944
897,1093,False,1,no reachable relay,897 -> 28
960,1008,False,0,no reachable relay,960
1048,1072,False,0,no reachable relay,1048
904,974,False,0,no reachable relay,904
970,954,False,0,no reachable relay,970
1032,1000,True,1,reached destination,1032 -> 1000
884,927,False,0,no reachable relay,884
1020,925,False,50,maximum hops reached,1020 -> 299 -> 369 -> 383 -> 1011 -> 6 -> 939 -> 348 -> 903 -> 179 -> 908 -> 319 -> 1017 -> 410 -> 905 -> 402 -> 489 -> 190 -> 142 -> 10 -> 316 -> 397 -> 329 -> 140 -> 45 -> 417 -> 389 -> 188 -> 207 -> 71 -> 635 -> 147 -> 713 -> 335 -> 669 -> 1085 -> 53 -> 809 -> 388 -> 55 -> 113 -> 353 -> 586 -> 281 -> 761 -> 942 -> 307 -> 663 -> 1044 -> 371 -> 715
1102,1081,False,0,no reachable relay,1102
926,1088,False,50,maximum hops reached,926 -> 192 -> 222 -> 343 -> 830 -> 344 -> 889 -> 185 -> 886 -> 357 -> 538 -> 268 -> 634 -> 376 -> 435 -> 783 -> 307 -> 560 -> 767 -> 983 -> 356 -> 834 -> 948 -> 373 -> 788 -> 309 -> 514 -> 726 -> 529 -> 771 -> 500 -> 583 -> 732 -> 657 -> 613 -> 870 -> 218 -> 959 -> 47 -> 599 -> 602 -> 1015 -> 37 -> 1028 -> 312 -> 1026 -> 176 -> 940 -> 196 -> 1049 -> 397
1083,1104,False,3,no reachable relay,1083 -> 252 -> 1076 -> 208
960,1035,False,0,no reachable relay,960
949,1039,False,0,no reachable relay,949
898,968,False,0,no reachable relay,898
1025,1020,True,3,reached destination,1025 -> 100 -> 243 -> 1020
925,953,False,0,no reachable relay,925
976,882,False,0,no reachable relay,976
1098,896,False,50,maximum hops reached,1098 -> 263 -> 1076 -> 208 -> 181 -> 268 -> 397 -> 767 -> 140 -> 788 -> 10 -> 538 -> 417 -> 634 -> 113 -> 642 -> 37 -> 402 -> 307 -> 713 -> 192 -> 179 -> 343 -> 6 -> 435 -> 809 -> 356 -> 1066 -> 190 -> 344 -> 410 -> 732 -> 348 -> 599 -> 1072 -> 176 -> 577 -> 185 -> 188 -> 500 -> 383 -> 613 -> 875 -> 71 -> 529 -> 319 -> 501 -> 914 -> 147 -> 514 -> 782
944,866,False,0,no reachable relay,944
1095,1104,False,0,no reachable relay,1095
927,901,False,0,no reachable relay,927
958,940,False,0,no reachable relay,958
1101,861,False,0,no reachable relay,1101
988,971,False,14,no reachable relay,988 -> 369 -> 397 -> 783 -> 889 -> 357 -> 886 -> 222 -> 983 -> 185 -> 948 -> 376 -> 959 -> 268 -> 560
1033,898,False,50,maximum hops reached,1033 -> 259 -> 369 -> 176 -> 538 -> 113 -> 344 -> 140 -> 37 -> 397 -> 185 -> 10 -> 218 -> 307 -> 1066 -> 435 -> 1026 -> 356 -> 999 -> 343 -> 1072 -> 192 -> 371 -> 613 -> 940 -> 196 -> 732 -> 314 -> 402 -> 500 -> 334 -> 417 -> 268 -> 388 -> 529 -> 831 -> 514 -> 71 -> 788 -> 188 -> 493 -> 190 -> 767 -> 147 -> 834 -> 410 -> 692 -> 599 -> 258 -> 501 -> 852
893,1066,False,0,no reachable relay,893
1077,967,False,50,maximum hops reached,1077 -> 356 -> 783 -> 886 -> 357 -> 889 -> 185 -> 983 -> 222 -> 948 -> 268 -> 959 -> 344 -> 830 -> 634 -> 376 -> 767 -> 560 -> 192 -> 583 -> 834 -> 870 -> 343 -> 1015 -> 373 -> 538 -> 785 -> 788 -> 238 -> 1004 -> 47 -> 1028 -> 435 -> 1026 -> 307 -> 1049 -> 312 -> 940 -> 218 -> 999 -> 37 -> 1087 -> 397 -> 1066 -> 176 -> 1072 -> 140 -> 1056 -> 10 -> 514 -> 541
1079,924,False,50,maximum hops reached,1079 -> 263 -> 1076 -> 208 -> 181 -> 314 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 783 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 179 -> 343 -> 410 -> 435 -> 6 -> 356 -> 348 -> 176 -> 577 -> 37 -> 383 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 388 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 538 -> 147 -> 514 -> 586 -> 500 -> 669 -> 529
907,1004,False,0,no reachable relay,907
957,1064,False,0,no reachable relay,957
1033,982,False,50,maximum hops reached,1033 -> 439 -> 778 -> 6 -> 569 -> 348 -> 1011 -> 316 -> 642 -> 319 -> 939 -> 383 -> 813 -> 179 -> 12 -> 402 -> 207 -> 10 -> 45 -> 397 -> 389 -> 140 -> 635 -> 903 -> 410 -> 142 -> 190 -> 318 -> 809 -> 908 -> 353 -> 713 -> 107 -> 715 -> 307 -> 329 -> 577 -> 55 -> 501 -> 479 -> 599 -> 53 -> 905 -> 417 -> 567 -> 188 -> 857 -> 669 -> 546 -> 663 -> 1085
890,1009,False,0,no reachable relay,890
1044,1008,False,50,maximum hops reached,1044 -> 10 -> 875 -> 140 -> 1085 -> 397 -> 905 -> 417 -> 908 -> 190 -> 493 -> 410 -> 307 -> 402 -> 176 -> 179 -> 356 -> 383 -> 113 -> 6 -> 435 -> 188 -> 599 -> 71 -> 642 -> 147 -> 577 -> 388 -> 348 -> 192 -> 319 -> 343 -> 335 -> 501 -> 371 -> 761 -> 37 -> 782 -> 1022 -> 316 -> 613 -> 329 -> 1017 -> 53 -> 979 -> 334 -> 586 -> 344 -> 669 -> 196 -> 1080
927,865,False,0,no reachable relay,927
1003,1080,False,0,no reachable relay,1003
897,1006,True,8,reached destination,897 -> 284 -> 1079 -> 159 -> 1076 -> 208 -> 608 -> 219 -> 1006
1069,1104,False,0,no reachable relay,1069
1016,960,False,0,no reachable relay,1016
894,923,False,50,maximum hops reached,894 -> 265 -> 334 -> 356 -> 1072 -> 176 -> 1066 -> 307 -> 364 -> 113 -> 344 -> 140 -> 37 -> 417 -> 196 -> 397 -> 314 -> 343 -> 388 -> 435 -> 147 -> 192 -> 71 -> 185 -> 10 -> 258 -> 188 -> 218 -> 371 -> 613 -> 914 -> 190 -> 500 -> 363 -> 529 -> 831 -> 732 -> 174 -> 410 -> 493 -> 402 -> 692 -> 179 -> 951 -> 383 -> 514 -> 557 -> 782 -> 268 -> 501 -> 852
938,920,False,50,maximum hops reached,938 -> 356 -> 834 -> 176 -> 185 -> 140 -> 344 -> 6 -> 192 -> 889 -> 343 -> 1026 -> 435 -> 999 -> 307 -> 357 -> 397 -> 268 -> 10 -> 218 -> 500 -> 940 -> 37 -> 788 -> 314 -> 529 -> 870 -> 196 -> 514 -> 886 -> 113 -> 767 -> 388 -> 732 -> 47 -> 613 -> 222 -> 538 -> 493 -> 599 -> 376 -> 634 -> 373 -> 983 -> 312 -> 1015 -> 417 -> 783 -> 501 -> 852 -> 642
1012,1077,False,0,no reachable relay,1012
1068,1021,False,0,no reachable relay,1068
953,867,False,0,no reachable relay,953
1049,928,False,3,no reachable relay,1049 -> 10 -> 142 -> 355
1064,1040,False,0,no reachable relay,1064
1059,993,False,0,no reachable relay,1059
1075,1040,False,0,no reachable relay,1075
863,1088,False,0,no reachable relay,863
884,889,False,0,no reachable relay,884
1087,932,True,4,reached destination,1087 -> 363 -> 242 -> 300 -> 932
883,963,True,4,reached destination,883 -> 403 -> 359 -> 21 -> 963
961,901,False,50,maximum hops reached,961 -> 265 -> 334 -> 410 -> 939 -> 190 -> 1011 -> 383 -> 903 -> 179 -> 368 -> 402 -> 335 -> 6 -> 388 -> 319 -> 113 -> 348 -> 371 -> 10 -> 329 -> 188 -> 316 -> 417 -> 53 -> 71 -> 353 -> 147 -> 45 -> 140 -> 55 -> 397 -> 505 -> 176 -> 761 -> 908 -> 307 -> 669 -> 52 -> 586 -> 942 -> 356 -> 663 -> 1017 -> 435 -> 789 -> 713 -> 831 -> 207 -> 782 -> 396
930,1037,False,0,no reachable relay,930
930,924,False,0,no reachable relay,930
1105,925,False,0,no reachable relay,1105
1023,1000,False,0,no reachable relay,1023
1057,1018,False,0,no reachable relay,1057
1088,1023,False,0,no reachable relay,1088
1109,1036,False,2,no reachable relay,1109 -> 365 -> 541
968,1098,False,0,no reachable relay,968
910,937,False,0,no reachable relay,910
897,1045,False,50,maximum hops reached,897 -> 375 -> 1065 -> 252 -> 768 -> 309 -> 344 -> 886 -> 185 -> 983 -> 268 -> 356 -> 357 -> 37 -> 222 -> 343 -> 47 -> 435 -> 373 -> 192 -> 218 -> 834 -> 196 -> 376 -> 307 -> 312 -> 176 -> 602 -> 529 -> 727 -> 500 -> 527 -> 514 -> 852 -> 788 -> 244 -> 767 -> 314 -> 726 -> 493 -> 783 -> 740 -> 538 -> 819 -> 732 -> 530 -> 613 -> 657 -> 948 -> 113 -> 959
969,1102,False,50,maximum hops reached,969 -> 47 -> 435 -> 889 -> 343 -> 1026 -> 192 -> 999 -> 307 -> 312 -> 356 -> 783 -> 37 -> 788 -> 196 -> 732 -> 218 -> 140 -> 344 -> 113 -> 185 -> 176 -> 268 -> 397 -> 357 -> 10 -> 514 -> 314 -> 500 -> 940 -> 417 -> 493 -> 599 -> 258 -> 529 -> 1049 -> 388 -> 767 -> 244 -> 613 -> 222 -> 501 -> 852 -> 538 -> 692 -> 834 -> 71 -> 1087 -> 188 -> 740 -> 634
1071,971,False,0,no reachable relay,1071
886,1002,False,50,maximum hops reached,886 -> 113 -> 6 -> 307 -> 402 -> 192 -> 190 -> 344 -> 397 -> 875 -> 10 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 410 -> 435 -> 179 -> 356 -> 383 -> 343 -> 348 -> 176 -> 319 -> 501 -> 544 -> 188 -> 599 -> 71 -> 642 -> 147 -> 577 -> 388 -> 669 -> 37 -> 782 -> 634 -> 371 -> 761 -> 613 -> 316 -> 732 -> 335 -> 713 -> 500 -> 586 -> 538 -> 663 -> 529 -> 809
878,1051,False,0,no reachable relay,878
1103,1003,False,0,no reachable relay,1103
1057,1041,False,0,no reachable relay,1057
991,939,False,0,no reachable relay,991
944,1065,False,0,no reachable relay,944
1089,917,False,0,no reachable relay,1089
938,868,False,5,no reachable relay,938 -> 316 -> 317 -> 667 -> 318 -> 355
999,884,False,50,maximum hops reached,999 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 538 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 6 -> 343 -> 410 -> 435 -> 179 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 196 -> 383 -> 356 -> 348 -> 176 -> 577 -> 37 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 514 -> 147 -> 788 -> 586 -> 500 -> 669 -> 529 -> 713 -> 767 -> 761 -> 905 -> 388
935,1070,False,0,no reachable relay,935
952,918,False,0,no reachable relay,952
1036,901,False,0,no reachable relay,1036
906,939,False,0,no reachable relay,906
1004,1009,False,9,no reachable relay,1004 -> 266 -> 963 -> 379 -> 954 -> 69 -> 1097 -> 238 -> 969 -> 298
1050,1052,False,0,no reachable relay,1050
1070,975,False,0,no reachable relay,1070
939,934,True,2,reached destination,939 -> 335 -> 934
884,1068,False,0,no reachable relay,884
937,1095,False,0,no reachable relay,937
1084,950,False,0,no reachable relay,1084
955,965,False,0,no reachable relay,955
941,933,False,0,no reachable relay,941
