source,destination,greedy_success,greedy_hops,greedy_reason,greedy_path,dijkstra_success,dijkstra_hops,dijkstra_delay_ms,dijkstra_path
867,1075,False,0,no reachable relay,867,True,9,54.23315340272829,867 -> 128 -> 54 -> 331 -> 127 -> 118 -> 174 -> 388 -> 147 -> 1075
944,921,False,0,no reachable relay,944,True,2,4.751499579061324,944 -> 10 -> 921
897,1093,False,1,no reachable relay,897 -> 28,True,8,53.00846109910455,897 -> 285 -> 60 -> 83 -> 129 -> 157 -> 933 -> 808 -> 1093
960,1008,False,0,no reachable relay,960,True,3,22.300307094626937,960 -> 810 -> 809 -> 1008
1048,1072,False,0,no reachable relay,1048,True,2,7.170236827881249,1048 -> 613 -> 1072
904,974,False,0,no reachable relay,904,True,5,25.61629038873656,904 -> 809 -> 1068 -> 318 -> 317 -> 974
970,954,False,0,no reachable relay,970,True,3,19.92851301731846,970 -> 344 -> 309 -> 954
1032,1000,True,1,reached destination,1032 -> 1000,True,2,4.001012923480139,1032 -> 789 -> 1000
884,927,False,0,no reachable relay,884,True,2,5.431572944734608,884 -> 613 -> 927
1020,925,False,50,maximum hops reached,1020 -> 299 -> 369 -> 383 -> 1011 -> 6 -> 939 -> 348 -> 903 -> 179 -> 908 -> 319 -> 1017 -> 410 -> 905 -> 402 -> 489 -> 190 -> 142 -> 10 -> 316 -> 397 -> 329 -> 140 -> 45 -> 417 -> 389 -> 188 -> 207 -> 71 -> 635 -> 147 -> 713 -> 335 -> 669 -> 1085 -> 53 -> 809 -> 388 -> 55 -> 113 -> 353 -> 586 -> 281 -> 761 -> 942 -> 307 -> 663 -> 1044 -> 371 -> 715,True,7,32.8978125143791,1020 -> 760 -> 499 -> 988 -> 804 -> 1082 -> 505 -> 925
1102,1081,False,0,no reachable relay,1102,True,2,4.947916221712419,1102 -> 344 -> 1081
926,1088,False,50,maximum hops reached,926 -> 192 -> 222 -> 343 -> 830 -> 344 -> 889 -> 185 -> 886 -> 357 -> 538 -> 268 -> 634 -> 376 -> 435 -> 783 -> 307 -> 560 -> 767 -> 983 -> 356 -> 834 -> 948 -> 373 -> 788 -> 309 -> 514 -> 726 -> 529 -> 771 -> 500 -> 583 -> 732 -> 657 -> 613 -> 870 -> 218 -> 959 -> 47 -> 599 -> 602 -> 1015 -> 37 -> 1028 -> 312 -> 1026 -> 176 -> 940 -> 196 -> 1049 -> 397,True,3,13.228434744638648,926 -> 356 -> 435 -> 1088
1083,1104,False,3,no reachable relay,1083 -> 252 -> 1076 -> 208,True,7,56.401660728787846,1083 -> 48 -> 49 -> 47 -> 344 -> 918 -> 397 -> 1104
960,1035,False,0,no reachable relay,960,True,5,29.964560799795436,960 -> 810 -> 809 -> 991 -> 599 -> 1035
949,1039,False,0,no reachable relay,949,True,7,39.8174711929187,949 -> 176 -> 926 -> 659 -> 820 -> 801 -> 750 -> 1039
898,968,False,0,no reachable relay,898,True,6,51.92184155874284,898 -> 344 -> 47 -> 49 -> 48 -> 311 -> 968
1025,1020,True,3,reached destination,1025 -> 100 -> 243 -> 1020,True,4,25.767979861446076,1025 -> 659 -> 820 -> 728 -> 1020
925,953,False,0,no reachable relay,925,True,2,7.471530746634785,925 -> 402 -> 953
976,882,False,0,no reachable relay,976,True,2,7.7808465251586405,976 -> 307 -> 882
1098,896,False,50,maximum hops reached,1098 -> 263 -> 1076 -> 208 -> 181 -> 268 -> 397 -> 767 -> 140 -> 788 -> 10 -> 538 -> 417 -> 634 -> 113 -> 642 -> 37 -> 402 -> 307 -> 713 -> 192 -> 179 -> 343 -> 6 -> 435 -> 809 -> 356 -> 1066 -> 190 -> 344 -> 410 -> 732 -> 348 -> 599 -> 1072 -> 176 -> 577 -> 185 -> 188 -> 500 -> 383 -> 613 -> 875 -> 71 -> 529 -> 319 -> 501 -> 914 -> 147 -> 514 -> 782,True,6,49.287492366941116,1098 -> 48 -> 49 -> 47 -> 344 -> 343 -> 896
944,866,False,0,no reachable relay,944,True,2,3.514240776925289,944 -> 410 -> 866
1095,1104,False,0,no reachable relay,1095,True,2,3.673527162875283,1095 -> 383 -> 1104
927,901,False,0,no reachable relay,927,True,2,8.524962784340014,927 -> 417 -> 901
958,940,False,0,no reachable relay,958,True,2,5.058238847846622,958 -> 435 -> 940
1101,861,False,0,no reachable relay,1101,True,7,39.71972036759139,1101 -> 642 -> 538 -> 967 -> 785 -> 541 -> 658 -> 861
988,971,False,14,no reachable relay,988 -> 369 -> 397 -> 783 -> 889 -> 357 -> 886 -> 222 -> 983 -> 185 -> 948 -> 376 -> 959 -> 268 -> 560,False,0,inf,988
1033,898,False,50,maximum hops reached,1033 -> 259 -> 369 -> 176 -> 538 -> 113 -> 344 -> 140 -> 37 -> 397 -> 185 -> 10 -> 218 -> 307 -> 1066 -> 435 -> 1026 -> 356 -> 999 -> 343 -> 1072 -> 192 -> 371 -> 613 -> 940 -> 196 -> 732 -> 314 -> 402 -> 500 -> 334 -> 417 -> 268 -> 388 -> 529 -> 831 -> 514 -> 71 -> 788 -> 188 -> 493 -> 190 -> 767 -> 147 -> 834 -> 410 -> 692 -> 599 -> 258 -> 501 -> 852,True,6,35.23085329699953,1033 -> 302 -> 259 -> 377 -> 1077 -> 388 -> 898
893,1066,False,0,no reachable relay,893,True,2,8.515350559437712,893 -> 417 -> 1066
1077,967,False,50,maximum hops reached,1077 -> 356 -> 783 -> 886 -> 357 -> 889 -> 185 -> 983 -> 222 -> 948 -> 268 -> 959 -> 344 -> 830 -> 634 -> 376 -> 767 -> 560 -> 192 -> 583 -> 834 -> 870 -> 343 -> 1015 -> 373 -> 538 -> 785 -> 788 -> 238 -> 1004 -> 47 -> 1028 -> 435 -> 1026 -> 307 -> 1049 -> 312 -> 940 -> 218 -> 999 -> 37 -> 1087 -> 397 -> 1066 -> 176 -> 1072 -> 140 -> 1056 -> 10 -> 514 -> 541,True,4,20.87067056430992,1077 -> 388 -> 1100 -> 767 -> 967
1079,924,False,50,maximum hops reached,1079 -> 263 -> 1076 -> 208 -> 181 -> 314 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 783 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 179 -> 343 -> 410 -> 435 -> 6 -> 356 -> 348 -> 176 -> 577 -> 37 -> 383 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 388 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 538 -> 147 -> 514 -> 586 -> 500 -> 669 -> 529,True,7,52.92474796627066,1079 -> 855 -> 791 -> 449 -> 790 -> 530 -> 529 -> 924
907,1004,False,0,no reachable relay,907,True,3,14.314865404900276,907 -> 312 -> 309 -> 1004
957,1064,False,0,no reachable relay,957,True,2,5.324972243756588,957 -> 613 -> 1064
1033,982,False,50,maximum hops reached,1033 -> 439 -> 778 -> 6 -> 569 -> 348 -> 1011 -> 316 -> 642 -> 319 -> 939 -> 383 -> 813 -> 179 -> 12 -> 402 -> 207 -> 10 -> 45 -> 397 -> 389 -> 140 -> 635 -> 903 -> 410 -> 142 -> 190 -> 318 -> 809 -> 908 -> 353 -> 713 -> 107 -> 715 -> 307 -> 329 -> 577 -> 55 -> 501 -> 479 -> 599 -> 53 -> 905 -> 417 -> 567 -> 188 -> 857 -> 669 -> 546 -> 663 -> 1085,True,7,33.36799573108999,1033 -> 661 -> 499 -> 988 -> 804 -> 1082 -> 329 -> 982
890,1009,False,0,no reachable relay,890,True,5,28.333738519912323,890 -> 567 -> 546 -> 569 -> 590 -> 1009
1044,1008,False,50,maximum hops reached,1044 -> 10 -> 875 -> 140 -> 1085 -> 397 -> 905 -> 417 -> 908 -> 190 -> 493 -> 410 -> 307 -> 402 -> 176 -> 179 -> 356 -> 383 -> 113 -> 6 -> 435 -> 188 -> 599 -> 71 -> 642 -> 147 -> 577 -> 388 -> 348 -> 192 -> 319 -> 343 -> 335 -> 501 -> 371 -> 761 -> 37 -> 782 -> 1022 -> 316 -> 613 -> 329 -> 1017 -> 53 -> 979 -> 334 -> 586 -> 344 -> 669 -> 196 -> 1080,True,2,4.172444726053275,1044 -> 782 -> 1008
927,865,False,0,no reachable relay,927,True,7,44.567938434220345,927 -> 834 -> 830 -> 541 -> 658 -> 861 -> 675 -> 865
1003,1080,False,0,no reachable relay,1003,True,2,6.349951859154659,1003 -> 10 -> 1080
897,1006,True,8,reached destination,897 -> 284 -> 1079 -> 159 -> 1076 -> 208 -> 608 -> 219 -> 1006,True,10,68.87259394952457,897 -> 114 -> 115 -> 913 -> 85 -> 331 -> 127 -> 118 -> 119 -> 334 -> 1006
1069,1104,False,0,no reachable relay,1069,True,2,3.6151598227224824,1069 -> 383 -> 1104
1016,960,False,0,no reachable relay,1016,True,7,41.9271218403018,1016 -> 560 -> 967 -> 538 -> 991 -> 809 -> 810 -> 960
894,923,False,50,maximum hops reached,894 -> 265 -> 334 -> 356 -> 1072 -> 176 -> 1066 -> 307 -> 364 -> 113 -> 344 -> 140 -> 37 -> 417 -> 196 -> 397 -> 314 -> 343 -> 388 -> 435 -> 147 -> 192 -> 71 -> 185 -> 10 -> 258 -> 188 -> 218 -> 371 -> 613 -> 914 -> 190 -> 500 -> 363 -> 529 -> 831 -> 732 -> 174 -> 410 -> 493 -> 402 -> 692 -> 179 -> 951 -> 383 -> 514 -> 557 -> 782 -> 268 -> 501 -> 852,True,5,31.655789520901347,894 -> 735 -> 544 -> 1032 -> 71 -> 923
938,920,False,50,maximum hops reached,938 -> 356 -> 834 -> 176 -> 185 -> 140 -> 344 -> 6 -> 192 -> 889 -> 343 -> 1026 -> 435 -> 999 -> 307 -> 357 -> 397 -> 268 -> 10 -> 218 -> 500 -> 940 -> 37 -> 788 -> 314 -> 529 -> 870 -> 196 -> 514 -> 886 -> 113 -> 767 -> 388 -> 732 -> 47 -> 613 -> 222 -> 538 -> 493 -> 599 -> 376 -> 634 -> 373 -> 983 -> 312 -> 1015 -> 417 -> 783 -> 501 -> 852 -> 642,True,2,12.973168435859119,938 -> 140 -> 920
1012,1077,False,0,no reachable relay,1012,True,2,10.327251809176614,1012 -> 388 -> 1077
1068,1021,False,0,no reachable relay,1068,True,7,42.753440814127956,1068 -> 713 -> 538 -> 967 -> 785 -> 541 -> 658 -> 1021
953,867,False,0,no reachable relay,953,True,9,50.238529701656006,953 -> 435 -> 1015 -> 740 -> 739 -> 738 -> 737 -> 685 -> 684 -> 867
1049,928,False,3,no reachable relay,1049 -> 10 -> 142 -> 355,True,5,30.244174517802268,1049 -> 613 -> 990 -> 809 -> 810 -> 928
1064,1040,False,0,no reachable relay,1064,True,2,10.594282502828301,1064 -> 417 -> 1040
1059,993,False,0,no reachable relay,1059,True,8,47.564649135372,1059 -> 273 -> 985 -> 484 -> 719 -> 651 -> 956 -> 808 -> 993
1075,1040,False,0,no reachable relay,1075,True,2,6.940042199627287,1075 -> 761 -> 1040
863,1088,False,0,no reachable relay,863,True,5,31.97362980477014,863 -> 810 -> 809 -> 991 -> 599 -> 1088
884,889,False,0,no reachable relay,884,True,2,8.047821095300682,884 -> 307 -> 889
1087,932,True,4,reached destination,1087 -> 363 -> 242 -> 300 -> 932,True,5,32.57480347875934,1087 -> 196 -> 994 -> 219 -> 259 -> 932
883,963,True,4,reached destination,883 -> 403 -> 359 -> 21 -> 963,True,5,33.57497666796502,883 -> 474 -> 633 -> 475 -> 768 -> 963
961,901,False,50,maximum hops reached,961 -> 265 -> 334 -> 410 -> 939 -> 190 -> 1011 -> 383 -> 903 -> 179 -> 368 -> 402 -> 335 -> 6 -> 388 -> 319 -> 113 -> 348 -> 371 -> 10 -> 329 -> 188 -> 316 -> 417 -> 53 -> 71 -> 353 -> 147 -> 45 -> 140 -> 55 -> 397 -> 505 -> 176 -> 761 -> 908 -> 307 -> 669 -> 52 -> 586 -> 942 -> 356 -> 663 -> 1017 -> 435 -> 789 -> 713 -> 831 -> 207 -> 782 -> 396,True,5,28.433198341647753,961 -> 542 -> 735 -> 784 -> 789 -> 901
930,1037,False,0,no reachable relay,930,True,6,36.16110471477664,930 -> 356 -> 902 -> 659 -> 820 -> 728 -> 1037
930,924,False,0,no reachable relay,930,True,2,6.749614613969232,930 -> 307 -> 924
1105,925,False,0,no reachable relay,1105,True,2,9.577674193329234,1105 -> 397 -> 925
1023,1000,False,0,no reachable relay,1023,True,2,12.375863610012342,1023 -> 113 -> 1000
1057,1018,False,0,no reachable relay,1057,True,2,6.08162014437421,1057 -> 789 -> 1018
1088,1023,False,0,no reachable relay,1088,True,2,5.672657618934103,1088 -> 344 -> 1023
1109,1036,False,2,no reachable relay,1109 -> 365 -> 541,False,0,inf,1109
