source,destination,success,hops,reason,delay_ms,path
65,95,True,4,reached destination,33.218131739893884,65 -> 316 -> 11 -> 993 -> 95
169,212,False,0,no constrained graph path,inf,169
181,140,False,0,no constrained graph path,inf,181
265,298,False,0,no constrained graph path,inf,265
102,29,True,3,reached destination,27.64511892816412,102 -> 359 -> 352 -> 29
226,175,False,0,no constrained graph path,inf,226
246,264,True,3,reached destination,31.56946793964328,246 -> 485 -> 640 -> 264
254,240,True,4,reached destination,41.47833132262767,254 -> 989 -> 44 -> 714 -> 240
85,136,True,4,reached destination,38.8052151270855,85 -> 377 -> 49 -> 1003 -> 136
23,4,True,4,reached destination,35.53976201488132,23 -> 304 -> 311 -> 771 -> 4
56,175,True,5,reached destination,41.20545046901756,56 -> 340 -> 202 -> 366 -> 336 -> 175
86,109,True,6,reached destination,57.095562643870124,86 -> 456 -> 276 -> 364 -> 50 -> 869 -> 109
24,205,False,0,no constrained graph path,inf,24
3,25,True,3,reached destination,33.10257445433809,3 -> 897 -> 1121 -> 25
68,22,True,3,reached destination,27.766429678757447,68 -> 513 -> 989 -> 22
291,222,True,4,reached destination,37.18604800434179,291 -> 868 -> 43 -> 320 -> 222
263,88,True,6,reached destination,56.02549284821879,263 -> 1068 -> 124 -> 330 -> 369 -> 379 -> 88
183,170,True,9,reached destination,71.6770171910315,183 -> 383 -> 31 -> 302 -> 18 -> 323 -> 150 -> 356 -> 648 -> 170
25,49,True,5,reached destination,49.18075441714508,25 -> 1128 -> 87 -> 366 -> 331 -> 49
190,213,True,4,reached destination,41.765154097123244,190 -> 507 -> 202 -> 1074 -> 213
62,229,True,4,reached destination,42.86589827923826,62 -> 781 -> 400 -> 319 -> 229
54,92,True,7,reached destination,57.20105573502997,54 -> 375 -> 33 -> 341 -> 84 -> 339 -> 400 -> 92
61,92,True,3,reached destination,33.22194244112741,61 -> 1146 -> 394 -> 92
92,42,False,0,no constrained graph path,inf,92
6,51,True,6,reached destination,51.064225206400664,6 -> 901 -> 439 -> 5 -> 376 -> 404 -> 51
47,2,False,0,no constrained graph path,inf,47
199,212,True,4,reached destination,33.81714287689503,199 -> 378 -> 403 -> 319 -> 212
54,245,True,4,reached destination,39.276094655086965,54 -> 375 -> 33 -> 503 -> 245
253,164,True,6,reached destination,63.21295811767223,253 -> 978 -> 227 -> 371 -> 301 -> 411 -> 164
174,289,True,7,reached destination,50.92938162612838,174 -> 345 -> 223 -> 353 -> 302 -> 238 -> 314 -> 289
263,160,True,2,reached destination,19.871304092335116,263 -> 969 -> 160
115,26,False,0,no constrained graph path,inf,115
115,208,True,3,reached destination,30.700810786609907,115 -> 966 -> 439 -> 208
4,131,True,2,reached destination,20.090947007759084,4 -> 542 -> 131
232,298,False,0,no constrained graph path,inf,232
