source,destination,success,hops,reason,path
65,95,True,4,reached destination,65 -> 568 -> 72 -> 580 -> 95
169,212,False,0,no reachable relay,169
181,140,False,50,maximum hops reached,181 -> 653 -> 893 -> 1044 -> 1018 -> 170 -> 539 -> 87 -> 570 -> 202 -> 729 -> 266 -> 949 -> 295 -> 556 -> 101 -> 928 -> 385 -> 381 -> 165 -> 667 -> 340 -> 333 -> 611 -> 59 -> 944 -> 665 -> 93 -> 507 -> 881 -> 608 -> 141 -> 1128 -> 69 -> 494 -> 56 -> 1150 -> 229 -> 555 -> 40 -> 838 -> 102 -> 864 -> 212 -> 1121 -> 232 -> 617 -> 166 -> 897 -> 143 -> 677
265,298,False,50,maximum hops reached,265 -> 1080 -> 94 -> 754 -> 740 -> 576 -> 190 -> 641 -> 124 -> 1044 -> 229 -> 811 -> 141 -> 682 -> 180 -> 853 -> 385 -> 565 -> 165 -> 462 -> 135 -> 667 -> 997 -> 1150 -> 1109 -> 40 -> 507 -> 305 -> 556 -> 170 -> 1068 -> 363 -> 188 -> 1007 -> 309 -> 204 -> 825 -> 279 -> 469 -> 93 -> 608 -> 55 -> 539 -> 343 -> 333 -> 292 -> 949 -> 266 -> 728 -> 212 -> 570
102,29,True,3,reached destination,102 -> 619 -> 848 -> 29
226,175,False,0,no reachable relay,226
246,264,True,3,reached destination,246 -> 485 -> 640 -> 264
254,240,True,4,reached destination,254 -> 725 -> 44 -> 1101 -> 240
85,136,True,4,reached destination,85 -> 845 -> 1082 -> 911 -> 136
23,4,True,3,reached destination,23 -> 945 -> 485 -> 4
56,175,True,4,reached destination,56 -> 729 -> 366 -> 746 -> 175
86,109,True,5,reached destination,86 -> 950 -> 68 -> 1061 -> 966 -> 109
24,205,False,0,no reachable relay,24
3,25,True,3,reached destination,3 -> 897 -> 633 -> 25
68,22,True,3,reached destination,68 -> 513 -> 1081 -> 22
291,222,True,4,reached destination,291 -> 1096 -> 782 -> 774 -> 222
263,88,True,5,reached destination,263 -> 770 -> 204 -> 1069 -> 588 -> 88
183,170,True,6,reached destination,183 -> 807 -> 27 -> 697 -> 415 -> 770 -> 170
25,49,True,4,reached destination,25 -> 881 -> 69 -> 968 -> 49
190,213,True,4,reached destination,190 -> 570 -> 662 -> 582 -> 213
62,229,True,4,reached destination,62 -> 781 -> 400 -> 670 -> 229
54,92,True,5,reached destination,54 -> 828 -> 156 -> 1015 -> 884 -> 92
61,92,True,3,reached destination,61 -> 1146 -> 528 -> 92
