id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5407,satellite,0,5,42.9874,52.6102,81.4716,164.3377,245.8093,6862.7226,496.2599,1931.6451011962795,-5017.494434032816,-4270.4618473701275,-5376.207289568723,-53.836531407537954,-4270.4618473701275,-38.6336,-179.4263,4
1,STARLINK-5406,satellite,0,5,42.9816,52.929,82.2187,15.3424,97.561,6864.5334,493.4117,-4514.7438618468495,2279.285496902486,4637.418999284864,3714.9665615772556,3431.7747538025687,4637.418999284864,42.697,42.7308,4
2,STARLINK-5547,satellite,0,14,43.0173,231.3792,160.8703,33.2984,194.1687,6869.5255,486.9336,3194.3683041231006,5966.819965724274,-1146.3161890320173,4471.852479782666,-5080.3016411246435,-1146.3161890320173,-9.672,-48.6447,2
3,STARLINK-5704,satellite,0,71,42.9968,271.3368,94.5279,35.5582,130.0861,6864.8804,487.108,3734.2403930110713,4505.371078670755,3578.8973927758825,2913.8849202941383,-5074.662012449774,3578.8973927758825,31.6091,-60.1354,3
4,STARLINK-5701,satellite,0,71,43.0117,271.2601,175.1938,30.5386,205.7324,6871.1697,491.4916,-2315.8317005328013,6137.238299978397,-2033.9988835183249,6559.595252949852,21.921071874863223,-2033.9988835183249,-17.3288,0.1915,4
5,STARLINK-5706,satellite,0,71,42.9935,271.1922,89.4078,143.213,232.6208,6873.5307,502.8857,-4081.704480047204,4089.5143540914264,-3725.235942158896,5259.229139842967,2392.6863499806736,-3725.235942158896,-32.974,24.4632,3
6,STARLINK-5141,satellite,0,71,43.0115,271.2352,172.2434,40.437,212.6804,6880.4001,502.9459,-2839.822961023658,5729.439747447183,-2533.4075084890565,6360.929087256952,655.4810572955269,-2533.4075084890565,-21.7348,5.8834,4
7,STARLINK-5754,satellite,0,13,42.9916,296.6994,78.3099,32.095,110.405,6859.797,486.3788,3124.896679400203,4247.177976622185,4381.542163584587,2885.232450221651,-4413.494503250106,4381.542163584587,39.9009,-56.8262,3
8,STARLINK-5757,satellite,0,71,43.0118,271.0427,12.3917,313.7177,326.1094,6867.463,490.414,-2695.083991821637,-5749.027194837787,-2611.4254286566584,-4442.5349379121935,4536.372420270098,-2611.4254286566584,-22.4827,134.4012,4
9,STARLINK-5767,satellite,0,13,43.0208,296.5889,124.6463,33.7282,158.3745,6875.2281,491.1322,-1202.8214774183205,6537.533334876764,1726.8714768801685,6545.126079264339,-1160.7955107156106,1726.8714768801685,14.65,-10.057,3
10,STARLINK-5703,satellite,0,13,42.9962,296.2249,89.876,216.4065,306.2825,6864.2783,494.0159,-1835.883486540295,-5433.42315206448,-3774.237387568547,-4447.529423418524,3621.0547294080147,-3774.237387568547,-33.5124,140.8485,2
11,STARLINK-5948,satellite,0,12,42.9961,347.5803,96.2619,321.3729,57.6348,6863.7093,488.056,4497.1757498569505,3348.542766375146,3950.89833644145,1563.2273047988665,-5384.5750785810405,3950.89833644145,35.3389,-73.8112,2
12,STARLINK-5939,satellite,0,47,42.9845,336.2039,102.8167,339.2934,82.1101,6875.3686,503.5958,2872.2659756257767,4175.5763844612475,4640.950310987467,2906.5564948353435,-4151.780259062182,4640.950310987467,42.6587,-55.0051,2
13,STARLINK-6126,satellite,0,48,42.9857,78.3666,100.1078,339.324,79.4318,6861.3924,489.3463,-4576.653491309078,2226.376389099951,4596.4801830305105,3687.06534469764,3508.284217303807,4596.4801830305105,42.2642,43.5767,4
14,STARLINK-5564,satellite,0,48,43.0208,78.1146,142.7225,33.1297,175.8522,6870.1571,485.0949,-1764.9500996423353,-6623.705772902331,338.6849758457195,-5587.385010592501,3971.1025878984033,338.6849758457195,2.8463,144.5976,4
15,STARLINK-30107,satellite,0,77,42.993,122.6819,97.3133,203.3056,300.6189,6860.9865,492.9754,1748.7219298645712,5275.320906490329,-4027.865049368564,4329.9212114654165,-3484.0811352414116,-4027.865049368564,-36.1025,-38.822,2
