id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5407,satellite,0,50,42.9819,52.5428,100.9591,179.22,280.1791,6861.5013,497.9122,4662.71843929189,-2043.633367655357,-4607.603489065608,-3687.0443345124418,-3510.4251396158097,-4607.603489065608,-42.3248,-136.4057,3
1,STARLINK-5406,satellite,0,50,42.9988,52.8723,95.8913,36.0826,131.9739,6868.3413,490.5879,-5745.840731851811,-1407.1500403052207,3479.781539470372,923.1047741610078,5843.16990405546,3479.781539470372,30.6219,81.0226,4
2,STARLINK-5547,satellite,0,83,42.9972,231.3591,105.8476,122.6816,228.5292,6865.0305,493.2609,-99.69768987004792,5900.9036235525755,-3508.353281063005,5480.822775520743,-2188.877545034084,-3508.353281063005,-30.8869,-21.7703,3
3,STARLINK-5704,satellite,0,3,43.0174,271.3153,132.5417,31.9508,164.4925,6869.487,484.6889,1189.288109161997,6641.348903737828,1251.6586051183813,5665.500042759102,-3663.881921305649,1251.6586051183813,10.574,-32.8908,3
4,STARLINK-5701,satellite,0,3,42.9891,271.2273,67.7958,172.2802,240.076,6866.1032,497.7394,-4426.718157118203,3332.2557023062204,-4058.9363744134857,4784.296184483852,2794.6863379001143,-4058.9363744134857,-36.3954,30.2908,4
5,STARLINK-5706,satellite,0,3,42.9789,271.132,86.8913,180.033,266.9243,6870.2388,506.7442,-5028.802957388892,269.5812174733895,-4680.102862708998,2192.370472208317,4533.767189616906,-4680.102862708998,-43.0799,64.1932,4
6,STARLINK-5141,satellite,0,3,42.9894,271.1947,72.9545,173.9941,246.9486,6875.4208,509.0915,-4685.0875559454225,2596.314695742986,-4315.879703913781,4205.41761063243,3317.432459958796,-4315.879703913781,-39.0341,38.268,4
7,STARLINK-5754,satellite,0,36,43.0135,296.6556,107.8804,36.9732,144.8535,6864.7014,483.3215,64.14970356745562,6306.870128374412,2693.2258790782553,5791.9071477961925,-2496.9056033331813,2693.2258790782553,23.2523,-23.321,3
8,STARLINK-5757,satellite,0,3,43.0242,271.0351,32.5683,327.9032,0.4716,6870.2526,485.3984,165.27970900581778,-6861.4361380769715,38.54287870059226,-6392.0519075564935,2499.6591108031234,38.54287870059226,0.3238,158.6416,4
9,STARLINK-5767,satellite,0,36,43.0243,296.5865,160.1723,32.5309,192.7031,6875.9895,492.8567,-3987.3346847986677,5499.311392350829,-1030.8471125109468,6613.097859646406,1551.8377419621672,-1030.8471125109468,-8.6823,13.2062,3
10,STARLINK-5703,satellite,0,36,43.0178,296.1992,12.9041,327.7416,340.6457,6869.1159,487.4962,1366.9441205786068,-6545.569890140933,-1552.0382937756165,-6565.203935909402,1269.2985052475647,-1552.0382937756165,-13.1462,169.0576,2
11,STARLINK-5948,satellite,0,20,42.9847,347.5164,91.3278,0.7552,92.083,6861.1555,489.7176,840.3401974727368,4948.836788648621,4672.651479811804,4239.405283936574,-2687.861612267487,4672.651479811804,43.1277,-32.3755,2
12,STARLINK-5939,satellite,0,58,42.9917,336.1376,85.0763,31.381,116.4573,6876.9528,502.2881,-979.5624069510092,5354.343615118145,4195.449065694397,5316.827945697633,-1166.1383510187702,4195.449065694397,37.7965,-12.3708,2
13,STARLINK-6126,satellite,0,57,42.9909,78.299,80.7613,33.1244,113.8857,6862.559,488.5139,-5054.819072201249,-1789.0681975446653,4276.040415154973,303.774358114091,5353.473826171898,4276.040415154973,38.7453,86.7523,4
14,STARLINK-5564,satellite,0,57,43.0109,78.1091,166.6036,43.6122,210.2158,6867.9268,489.7124,1249.7945784182123,-6325.827846942497,-2356.8031894098685,-6317.259337647409,1292.4081779002038,-2356.8031894098685,-20.193,168.4378,4
15,STARLINK-30107,satellite,0,88,43.0156,122.6499,16.1788,318.8199,334.9986,6866.0197,486.1323,-1569.8645608581646,6380.774728029635,-1978.6175030640934,6491.649731141559,-1018.4520791229158,-1978.6175030640934,-16.8566,-8.9163,2
16,STARLINK-6156,satellite,0,74,42.9884,129.7658,67.3169,173.3075,240.6244,6867.2865,499.525,5521.8100190296855,210.79888158560436,-4082.072192157386,-1939.883228835071,-5174.135204381383,-4082.072192157386,-36.6249,-110.552,4
17,STARLINK-6298,satellite,0,74,43.0173,128.9939,160.5306,37.1325,197.6631,6869.262,487.6102,5299.602539732345,-4125.6267168546665,-1421.0086779115895,-5853.3953584759165,-3293.0754111218184,-1421.0086779115895,-12.0191,-150.6382,2
18,STARLINK-5775,satellite,0,6,42.9846,143.3802,94.2558,184.3662,278.622,6876.5559,512.7971,2140.8018626087005,4609.914368524627,-4638.584981587283,3424.1672596535777,-3756.251013709707,-4638.584981587283,-42.5614,-47.648,4
19,STARLINK-6310,satellite,0,74,42.9806,129.5019,90.5655,189.1578,279.7233,6861.8553,498.1885,3082.7918169891836,4044.423101643994,-4614.093530973655,2538.5263024644596,-4406.45524471805,-4614.093530973655,-42.396,-60.0541,3
20,STARLINK-6255,satellite,0,51,42.9819,155.1731,100.4443,339.0956,79.5399,6865.6843,494.0349,-3203.6827423972095,-3957.5891238401214,4600.902232117254,-2411.7140759047884,4484.387360961811,4600.902232117254,42.2786,118.2715,3
21,STARLINK-30068,satellite,0,39,43.0173,191.3855,14.9843,325.4838,340.468,6866.5777,485.1059,-6671.116031521566,367.72474140016965,-1565.1698030177788,2917.6758084179005,6010.505674935746,-1565.1698030177788,-13.2642,64.1067,4
22,STARLINK-30070,satellite,0,12,43.0217,202.6442,32.5798,329.1625,1.7423,6867.5874,482.7155,-6270.320475014176,-2781.006224921833,142.32456385509926,-141.25303532018052,6857.912369114148,142.32456385509926,1.1961,91.18,4
23,STARLINK-30120,satellite,0,29,42.9817,38.7168,85.5937,180.1133,265.707,6861.1962,497.6708,2731.8500095739705,-4229.5702666823645,-4667.794844088966,-4956.768611606583,-884.7112786692458,-4667.794844088966,-43.0101,-169.8801,4
24,STARLINK-30133,satellite,0,29,43.0024,37.9706,135.5935,88.4605,224.054,6865.7127,492.3532,-1741.7530237437704,-5788.117873894216,-3255.96779629362,-4665.042201324847,3843.617225696712,-3255.96779629362,-28.4592,140.5142,4
25,STARLINK-30073,satellite,0,55,43.0175,223.8756,126.1591,32.3324,158.4915,6866.5367,482.418,5874.531426979928,3097.5884059950417,1715.694332779832,586.2115801626101,-6615.2497611815825,1715.694332779832,14.5721,-84.936,0
26,STARLINK-30135,satellite,0,29,42.9834,38.6122,88.0076,180.4194,268.4269,6861.1162,498.0178,2986.101844385117,-4041.038507591972,-4679.51662541114,-4881.163303076513,-1192.0743490154166,-4679.51662541114,-43.1413,-166.2759,3
27,STARLINK-5961,satellite,0,89,43.0058,1.7349,107.3833,36.1942,143.5774,6876.9191,495.9825,-5616.2757787199835,2814.4058665571088,2782.3904522761145,4766.483182668117,4091.952110385683,2782.3904522761145,24.0218,40.6456,4
28,STARLINK-5834,satellite,0,90,42.9891,27.6224,101.9041,319.9461,61.8502,6877.4066,502.8669,817.749316288428,5431.151189454014,4132.248133584304,4692.966242461171,-2853.451424874412,4132.248133584304,37.1279,-31.3007,1
29,STARLINK-6251,satellite,0,90,42.9933,26.99,101.5181,202.0503,303.5685,6876.6554,507.8032,5292.025987533557,-2009.570908497563,-3908.572103583141,-3898.8701640778677,-4103.989002503986,-3908.572103583141,-34.7908,-133.5318,4
30,STARLINK-6259,satellite,0,90,42.9868,27.0191,104.5555,187.5386,292.0941,6878.2361,512.6628,4425.215178063281,-2979.6312609230845,-4347.9322882733995,-4458.496657100409,-2929.597136443201,-4347.9322882733995,-39.3547,-146.6918,4
31,STARLINK-5150,satellite,0,84,43.0118,194.3182,62.4671,324.5,26.967,6877.3367,494.4956,-5369.891970399261,-3721.8330386313487,2125.3373757470918,-1356.9941938552602,6391.114746196427,2125.3373757470918,18.1247,101.9873,4
32,STARLINK-5485,satellite,0,79,43.0165,321.8987,49.1537,327.5279,16.6816,6869.4201,484.9104,6061.475133915926,-2922.800026187409,1343.8278296807828,-5038.532157505886,-4460.654042844086,1343.8278296807828,11.3621,-138.4813,4
33,STARLINK-6375,satellite,0,38,42.9898,180.3931,102.3056,197.1655,299.4711,6863.3746,495.1571,-3407.750706228729,4349.000433728445,-4075.7525819513007,5328.166933023967,1461.918869911246,-4075.7525819513007,-36.5862,15.343,4
34,STARLINK-6215,satellite,0,51,42.9832,154.4841,77.8342,174.3826,252.2169,6861.9215,497.1824,3952.885938218189,3413.1999734075625,-4457.644666934199,1620.0514342632684,-4964.944576666894,-4457.644666934199,-40.6583,-71.9286,3
35,STARLINK-30214,satellite,0,38,43.0141,179.7708,125.7421,32.1675,157.9095,6868.8902,484.9764,6350.393843055727,-1912.2255352248262,1760.3457962108475,-4218.172485908337,-5117.726969916609,1760.3457962108475,14.9542,-129.4963,3
36,STARLINK-30191,satellite,0,47,42.9983,118.1393,105.2164,199.9217,305.1381,6861.5901,491.7121,1756.7189950288607,5419.107845071832,-3827.5849870548795,4318.926831185847,-3714.789696722719,-3827.5849870548795,-34.0624,-40.6994,3
37,STARLINK-30171,satellite,0,3,43.0138,270.8185,56.1345,325.779,21.9136,6880.9087,496.7639,1966.5842171895144,-6349.4379759933045,1749.9453716747998,-6616.089180521712,640.4530034814336,1749.9453716747998,14.8376,174.4709,3
38,STARLINK-30213,satellite,0,86,43.0153,307.6809,129.1627,33.3076,162.4703,6869.2234,484.8129,-2803.7052143354595,6102.360041285234,1409.990615841763,6711.77941129338,227.108204397925,1409.990615841763,11.9295,1.938,4
39,STARLINK-30074,satellite,0,86,43.0197,307.6465,163.8278,27.6645,191.4923,6869.7372,486.3384,-4900.128518392912,4715.2704583139475,-933.0267650487194,6242.806853560298,2696.7383226698726,-933.0267650487194,-7.8606,23.3632,4
40,STARLINK-30157,satellite,0,71,42.9882,281.8115,72.6814,182.6174,255.2987,6861.5438,497.4384,-5112.001728344872,711.1778585526744,-4528.4708974820805,2631.804500105025,4439.813136870004,-4528.4708974820805,-41.4408,59.3417,4
41,STARLINK-30250,satellite,0,40,43.0204,293.2946,25.9512,327.8069,353.7581,6867.4592,483.2946,2196.327815524597,-6480.333113273133,-508.9684584190695,-6825.612059025616,479.1587961369205,-508.9684584190695,-4.2806,175.9844,3
42,STARLINK-30269,satellite,0,40,42.9876,293.5729,80.9445,173.8657,254.8101,6859.2648,494.6543,-5160.124273756389,-289.39532975848294,-4516.31612176607,1727.5959126864932,4870.938773990579,-4516.31612176607,-41.3259,70.4717,4
43,STARLINK-30270,satellite,0,40,43.0176,292.8589,158.7183,40.3245,199.0429,6866.6001,485.2305,-4028.334678748721,5341.392713871373,-1527.4980973901238,6483.299949106649,1650.6902125236836,-1527.4980973901238,-12.9392,14.2844,1
44,STARLINK-30138,satellite,0,75,43.0105,12.9083,6.8561,320.094,326.9501,6867.5087,490.168,6220.6786788077,-1383.1338567711482,-2553.9980692011054,-3680.0639130503373,-5202.598589799522,-2553.9980692011054,-21.9635,-125.2737,4
45,STARLINK-30255,satellite,0,75,43.0152,12.8209,61.2638,323.1109,24.3746,6869.1542,485.6286,5635.1023315904,3406.0358024438365,1931.9565661038177,963.2310724477982,-6513.650595180544,1931.9565661038177,16.4491,-81.5881,3
46,STARLINK-30245,satellite,0,75,42.9998,12.7594,98.5367,311.7351,50.2718,6866.3525,488.0018,3424.196221370179,4731.8150148072555,3598.283837957627,3040.534177441604,-4987.0176471124205,3598.283837957627,31.7953,-58.6298,4
47,STARLINK-30141,satellite,0,75,42.9972,12.7544,96.4075,318.0846,54.4921,6864.1453,488.0335,2984.1999543385473,4862.8245218308075,3808.023504283077,3331.429736795675,-4631.855741102771,3808.023504283077,33.8857,-54.2747,3
48,STARLINK-30056,satellite,0,75,43.0229,12.8388,22.5416,331.0718,353.6134,6869.991,485.4042,6774.32225015783,971.4507289808375,-520.9031658013124,-1722.472019535429,-6623.311000529749,-520.9031658013124,-4.3798,-104.5775,4
49,STARLINK-30323,satellite,0,75,42.9939,12.6279,110.5653,324.2165,74.7819,6861.7298,489.5524,698.5195004898068,5116.996159854277,4512.888213042758,4449.31213184523,-2622.0604008952196,4512.888213042758,41.3253,-30.5116,4
50,STARLINK-30311,satellite,0,17,42.9914,23.7201,90.0616,326.4251,56.4867,6861.4117,484.6975,1783.6311030902614,5350.638527987175,3897.782368776912,4245.376814085896,-3713.1453345531245,3897.782368776912,34.8152,-41.174,4
51,STARLINK-30328,satellite,0,75,42.9842,12.566,101.206,336.686,77.8919,6861.7347,489.4895,336.84042454084863,5100.842751271527,4571.81209539781,4574.210939028794,-2282.2472543686968,4571.81209539781,41.9851,-26.5163,3
52,STARLINK-30243,satellite,0,17,43.0,24.1582,90.8145,142.0276,232.8421,6861.813,491.2765,-2145.1956776686457,-5346.463491248227,-3730.317643046195,-4101.773738473804,4044.99549531332,-3730.317643046195,-33.0878,135.3993,1
53,STARLINK-30315,satellite,0,67,43.0089,49.3388,107.8403,36.783,144.6233,6864.5704,483.3334,-5846.040738955774,-2350.017170317023,2708.333693578064,92.24641474044459,6300.020922289301,2708.333693578064,23.3903,89.1611,4
54,STARLINK-30341,satellite,0,50,43.0175,52.702,134.2826,28.996,163.2787,6873.7688,489.7485,-5134.366597106805,-4356.362224235825,1347.9141056509195,-2033.2436400855838,6419.153564317226,1347.9141056509195,11.3889,107.5754,4
55,STARLINK-30281,satellite,0,67,43.0155,49.7288,24.0377,317.7371,341.7748,6866.6594,485.1631,5410.641592801258,3958.8793170491176,-1464.137996102227,1559.8667090379574,-6520.320831273973,-1464.137996102227,-12.394,-76.5459,4
56,STARLINK-30369,satellite,0,27,43.0063,125.84,17.1058,306.7279,323.8337,6864.4807,488.1163,-843.1619009885429,6225.436905661429,-2762.371958005409,6067.4984281953,-1628.6342380956862,-2762.371958005409,-23.8675,-15.0251,4
57,STARLINK-30387,satellite,0,77,42.9843,114.5424,101.6946,328.4387,70.1333,6862.1442,488.8473,-5260.219060507896,160.19056372557134,4397.601956306339,2180.9289463112586,4789.479565921432,4397.601956306339,40.0589,65.5175,4
58,STARLINK-30398,satellite,0,72,42.9889,165.9173,59.3047,186.2129,245.5176,6860.1289,492.6433,3870.0642384170887,3739.202270986525,-4258.542296731208,1952.7293243361141,-5014.566683044852,-4258.542296731208,-38.5303,-68.7235,3
59,STARLINK-30408,satellite,0,72,42.999,165.2788,93.91,37.6071,131.5171,6865.048,487.3035,3443.1482825018597,-4788.710855189838,3502.9214237681463,-5747.38514293029,-1324.6077792058504,3502.9214237681463,30.8637,-167.0216,4
60,STARLINK-30446,satellite,0,12,43.0109,202.5692,104.1666,38.9642,143.1309,6864.3189,484.2829,6221.802361560218,-672.7426199029975,2807.1448635092643,-3025.3183615707376,-5478.216504492425,2807.1448635092643,24.2931,-118.9095,3
